service_id,date,exception_type
0,20220101,1
1,20220101,2
2,20220101,2
3,20220101,2
4,20220101,2
5,20220101,2
6,20220101,2
7,20220101,2
0,20220110,1
1,20220110,2
2,20220110,2
3,20220110,2
4,20220110,2
5,20220110,2
6,20220110,2
7,20220110,2
0,20220321,1
1,20220321,2
2,20220321,2
3,20220321,2
4,20220321,2
5,20220321,2
6,20220321,2
7,20220321,2
0,20220414,1
1,20220414,2
2,20220414,2
3,20220414,2
4,20220414,2
5,20220414,2
6,20220414,2
7,20220414,2
0,20220415,1
1,20220415,2
2,20220415,2
3,20220415,2
4,20220415,2
5,20220415,2
6,20220415,2
7,20220415,2
0,20220501,1
1,20220501,2
2,20220501,2
3,20220501,2
4,20220501,2
5,20220501,2
6,20220501,2
7,20220501,2
0,20220530,1
1,20220530,2
2,20220530,2
3,20220530,2
4,20220530,2
5,20220530,2
6,20220530,2
7,20220530,2
0,20220620,1
1,20220620,2
2,20220620,2
3,20220620,2
4,20220620,2
5,20220620,2
6,20220620,2
7,20220620,2
0,20220627,1
1,20220627,2
2,20220627,2
3,20220627,2
4,20220627,2
5,20220627,2
6,20220627,2
7,20220627,2
0,20220704,1
1,20220704,2
2,20220704,2
3,20220704,2
4,20220704,2
5,20220704,2
6,20220704,2
7,20220704,2
0,20220720,1
1,20220720,2
2,20220720,2
3,20220720,2
4,20220720,2
5,20220720,2
6,20220720,2
7,20220720,2
0,20220807,1
1,20220807,2
2,20220807,2
3,20220807,2
4,20220807,2
5,20220807,2
6,20220807,2
7,20220807,2
0,20220815,1
1,20220815,2
2,20220815,2
3,20220815,2
4,20220815,2
5,20220815,2
6,20220815,2
7,20220815,2
0,20221017,1
1,20221017,2
2,20221017,2
3,20221017,2
4,20221017,2
5,20221017,2
6,20221017,2
7,20221017,2
0,20221107,1
1,20221107,2
2,20221107,2
3,20221107,2
4,20221107,2
5,20221107,2
6,20221107,2
7,20221107,2
0,20221114,1
1,20221114,2
2,20221114,2
3,20221114,2
4,20221114,2
5,20221114,2
6,20221114,2
7,20221114,2
0,20221208,1
1,20221208,2
2,20221208,2
3,20221208,2
4,20221208,2
5,20221208,2
6,20221208,2
7,20221208,2
0,20221225,1
1,20221225,2
2,20221225,2
3,20221225,2
4,20221225,2
5,20221225,2
6,20221225,2
7,20221225,2


