route_id,route_short_name,route_long_name,route_desc,agency_id,route_color,route_text_color,route_type
T_2187,nan,,PADRON,2,7A68AE,FFFFFF,3
T_2105,1,Portal eldorado,TRONCAL,1,000000,FFFFFF,3
T_2104,1,Universidades,TRONCAL,1,000000,FFFFFF,3
T_884,1-1,Alamos,ALIMENTADOR,4,196939,FFFFFF,3
T_519,1-10,Bolivia bochica ii,ALIMENTADOR,4,196939,FFFFFF,3
T_508,1-2,Garces navas,ALIMENTADOR,4,196939,FFFFFF,3
T_524,1-3,Villas de granada,ALIMENTADOR,4,196939,FFFFFF,3
T_1001,1-4,Cortijo pico,ALIMENTADOR,4,196939,FFFFFF,3
T_586,1-4,Cortijo,ALIMENTADOR,4,196939,FFFFFF,3
T_1942,1-5,Colsubsidio,ALIMENTADOR,4,196939,FFFFFF,3
T_502,1-6,Bolivia oriental,ALIMENTADOR,4,196939,FFFFFF,3
T_520,1-7,Quirigua,ALIMENTADOR,4,196939,FFFFFF,3
T_496,1-8,Calle 80,ALIMENTADOR,4,196939,FFFFFF,3
T_467,1-9,Villas del dorado,ALIMENTADOR,4,196939,FFFFFF,3
T_1524,10-1,Avenida bosa,ALIMENTADOR,4,196939,FFFFFF,3
Z_5642,10-10,Santo domingo,URBANO,3,00618E,FFFFFF,3
Z_5642-2,10-10,Portal sur,URBANO,3,00618E,FFFFFF,3
Z_6677,10-11,Bellaflor,URBANO,3,00618E,FFFFFF,3
Z_6677-2,10-11,Mirador paraiso,URBANO,3,00618E,FFFFFF,3
Z_5637,10-12,Paraiso,URBANO,3,00618E,FFFFFF,3
Z_5637-2,10-12,Mochuelo bajo,URBANO,3,00618E,FFFFFF,3
T_1312,10-2,Bosa centro,ALIMENTADOR,4,196939,FFFFFF,3
T_1501,10-3,Alban carbonell,ALIMENTADOR,4,196939,FFFFFF,3
T_1311,10-3,Circular alameda,ALIMENTADOR,4,196939,FFFFFF,3
T_2165,10-4,Laureles,ALIMENTADOR,4,196939,FFFFFF,3
T_1727,10-4,Bosa laureles hora pico,ALIMENTADOR,4,196939,FFFFFF,3
T_1139,10-4,Bosa laureles,ALIMENTADOR,4,196939,FFFFFF,3
T_1043,10-5,Terminal sur,ALIMENTADOR,4,196939,FFFFFF,3
Z_5748,10-6,Perdomo,ALIMENTADOR_V,4,196939,FFFFFF,3
T_1693,10-8,Olarte timiza,ALIMENTADOR,4,196939,FFFFFF,3
Z_5946,107A,Jaqueline,URBANO,3,00618E,FFFFFF,3
Z_5946-2,107A,Chapinero,URBANO,3,00618E,FFFFFF,3
Z_5480,11-10,Bilbao pico,ALIMENTADOR_V,4,196939,FFFFFF,3
Z_5479,11-10,Bilbao,ALIMENTADOR_V,4,196939,FFFFFF,3
Z_5402,11-2,San andres,ALIMENTADOR_V,4,196939,FFFFFF,3
Z_5403,11-3,Villamaria,ALIMENTADOR_V,4,196939,FFFFFF,3
Z_5447,11-4,Aures,ALIMENTADOR_V,4,196939,FFFFFF,3
Z_5404,11-5,Av cali,ALIMENTADOR_V,4,196939,FFFFFF,3
Z_5405,11-6,Las mercedes,ALIMENTADOR_V,4,196939,FFFFFF,3
Z_5406,11-7,Pinar,ALIMENTADOR_V,4,196939,FFFFFF,3
Z_6308,11-8,La gaitana,ALIMENTADOR_V,4,196939,FFFFFF,3
Z_5409,11-9,Lisboa,ALIMENTADOR_V,4,196939,FFFFFF,3
Z_6517,11-9,Lisboa refuerzo,ALIMENTADOR_V,4,196939,FFFFFF,3
Z_5304,111,Gaviotas,URBANO,3,00618E,FFFFFF,3
Z_5304-2,111,Metrovivienda,URBANO,3,00618E,FFFFFF,3
Z_6483,112B,Centro internacional,URBANO,3,00618E,FFFFFF,3
Z_6483-2,112B,Bachue,URBANO,3,00618E,FFFFFF,3
Z_5718,114A,Gaviotas,URBANO,3,00618E,FFFFFF,3
Z_5718-2,114A,Paloquemao,URBANO,3,00618E,FFFFFF,3
Z_6980,117,San bernardino potreritos - libertadores,URBANO,3,00618E,FFFFFF,3
Z_6883,12,Chapinero,URBANO,3,00618E,FFFFFF,3
Z_6883-2,12,Puente grande - chapinero,URBANO,3,00618E,FFFFFF,3
Z_4707,12-1,Fatima,ALIMENTADOR_V,4,196939,FFFFFF,3
Z_4525,120,Bosa san diego,URBANO,3,00618E,FFFFFF,3
Z_4525-2,120,Egipto,URBANO,3,00618E,FFFFFF,3
Z_6969,121,Metrovivienda - san diego,URBANO,3,00618E,FFFFFF,3
